name,role,company,bio,dates
Max Kelly,MD,Sense Services,"Max Kelly has spent his career launching new products and companies, as well as running global strategy for large international businesses.  He currently works across a portfolio of organisations, focused on strategy to deliver success. He has given guidance to organisations through his 10 board director roles. 

At Techstars, Max ran the Techstars London accelerator where he invested in over 40 companies, before taking on Techstars' worldwide strategy. 

Prior to Techstars, Max spent 12 years at Virgin where he ran strategy for the group during its growth from $4bn to $20bn in revenue.  He co-founded four companies whilst there:
- Virgin Mobile USA, one of the Virgin unicorns
- Virgin Mobile Canada
- Virgin Healthbank
- Virgin Insight (where he was CEO)

He was a scholar at Oxford University where he obtained a First Class Degree in Chemistry.  He is on the Chemistry Development Board at Oxford University. ",2025-04-02
Sarah Al-Hussaini,"VP, AI GTM",Zendesk (ex Ultimate),"Sarah is an AI founder and angel investor. She's the co-founder and COO Ultimate, the leading CX automation platform globally. Founded in 2017, Ultimate grew to 200+ FTE and tens of millions in revenues, before exiting to Zendesk in 2023 and becoming Zendesk's AI Agents. Today, Sarah is VP of AI at Zendesk.

Sarah was awarded Forbes 30 Under 30 in 2019. Ultimate has been named by WIRED as one of Europe's Hottest 100 Startups and by Forbes as a Top 100 Most Innovative Companies. An expert in customer experience and AI, Sarah is passionate about diversity in tech and the power of technology to create a better world for people and planet.",2025-03-24
Catherine Breslin,Founder & CEO,Kingfisher Labs,"Catherine Breslin is an AI consultant, researcher, and speaker with over 20 years of experience in speech and language technology, machine learning, and AI strategy. She's worked at the cutting edge of AI innovation, helping businesses develop, deploy, and optimise AI solutions that drive real-world impact.",2025-03-31
Vlad Brenner,Global Account Manager,Lenovo,"Award-winning sales leader with over a decade of experience in business development, partnerships, and sales management across AI, cloud, SaaS, and datacentre technologies. Vlad holds an MBA from the University of Bath and certifications in AI, machine learning, and cloud computing.

Vlad has mentored various startups before and specialises in supporting founders with PMF, GTM, Business Development and Sales",2025-04-01
Lukas Kemkes,Founder & Managing Director,Kemkes AI Consulting,"Built a gen AI company before the hype (in 2019, with GPT-2), funded by Techstars Berlin. Unfortunately, we were too early. Now I'm using my over 10 years of experience in building AI products in many different sectors (B2B SaaS software, automotive, finance, cyber security) to help companies build high-quality, production-ready LLM products. Excited to help founders launch AI products quickly and support on technical questions.",2025-04-02
Robert Desmond,CTO,Leadsie,"Technical Founder with Product Managment and Customer Research and interview experience.

Currently building a B2B SaaS called Leadsie, we help marketing agencies onboard their clients. We are bootstrapped and profitable!

I have been a mentor for 7 years now and seen hundreds of startups with my time at 500 Global and Techstars.

I have raised many rounds including crowdfunding for my previous startup: StoryTerrace - a B2C bookwriting service to capture life stories for future generations.

I also pride myself on making sure to focus a team in the right direction so you can work together and build something great!",
Yusuf Saban,Co-founder,Dija (acq. by Gopuff),"- Co-founded Dija, a quick commerce startup that raised $20 million in pre-seed funding from Blossom Capital, Index Ventures, and Creandum, ultimately achieving a sizable exit to Gopuff within its first year.
- At Dija/Gopuff, co-led UK, overseeing revenue-driving functions such as growth, pricing, selection, and expansion, helping scale the business to nine digit revenue.
- Previously, Chief of Staff to the CEO of Deliveroo, where he worked on capital allocation, operating strategies across 12 countries, the launch of delivery-only kitchens, and fundraising efforts exceeding $1bn.",2025-03-28
Rizwan Khan,Managing Director - International,42Maru,"Riz has extensive experience driving growth through business development and enterprise sales at leading technology companies. His notable career includes key roles at Brainware (acquired by Lexmark), Wildfire (acquired by Google), and both InVision and Uizard (acquired by Miro). At Uizard, Riz successfully built and scaled the go-to-market strategy from pre-product-market-fit through to established enterprise sales, consistently achieving top performance.

Currently, Riz is spearheading international expansion at 42Maru, a Seoul-based AI technology firm. Beyond his corporate role, Riz contributes significantly to the startup ecosystem as an All-Star Mentor at Techstars, ranking among the top 1% of mentors globally. He also actively facilitates workshops for the GAIA AI Accelerator in Riyadh, supporting emerging AI ventures in the region.",
Corey Cummins,Head of EMEA Partner Acquisitions ,Snowflake,"I'm excited to join Techstars as a mentor, working with early-stage founders to help them build smarter, more efficient revenue engines. A lot of companies focus on sales or marketing in isolation—but real scale comes from looking at the entire revenue cycle, end to end. I love helping teams connect the dots across GTM, systems, and partnerships so they can grow faster, more predictably, and with better margins.

With 15+ years of experience in SaaS, data platforms, and B2B tech, I’ve built and led high-impact go-to-market teams across enterprise sales, partnerships, and ecosystems in both startup and global environments.

At Snowflake, I lead the EMEA partner GTM strategy—driving co-sell, joint solutions, and new logo acquisition with 50+ SI, ISV, and Cloud partners. I've built and scaled partner teams across UK&I, Benelux, and Nordics, delivering $45M+ in revenue and launching frameworks that drive partner-seller collaboration and value-based selling.

Previously, I co-founded REalyse, a real estate data platform where I grew ARR from 0 to £800K+, closed 48 enterprise customers, and raised £4M+ in venture funding. I led GTM, built key partnerships with government and data providers, and scaled our sales org from scratch.

Earlier in my career at Contently, I helped grow ARR from $2M to $6M, led the European expansion, and built the UK business to £1.5M ARR with clients like Credit Suisse, Lego, and Expedia.",
Nick Richardson,Senior Investment Manager,Charles Stanley,"I have worked in the wealth management sector for nearly 20 years and am on the front line when it comes to using tech to aid with delivering these services for clients, as well as knowing the practical applications for where new products/tools would be useful. I have also helped to develop successful BD strategies within the industry and have connections within the B2B SaaS and life sciences sectors for SEIS/EIS investments. 

I would be delighted to help guide and advise founders within the fintech/financial services areas, but can also provide general support and guidance for how to develop successful business strategies.",
Mash Bonigala,Brand Strategist,Spellbrand,"I’m Mash Bonigala, a serial founder, brand strategist, and startup advisor with over 28 years of experience launching, scaling, and exiting businesses. I’ve built and sold multiple companies, raised over $75M+ in funding, and helped founders craft brands that dominate their markets.

I specialize in brand positioning, market strategy, and founder-led growth, ensuring startups build not just a product, but a category-defining movement. Through my proprietary BRANDEM™ OS, I help founders cut through the noise, craft compelling market positions, and implement systematic growth frameworks.

How I Can Help Founders:

* Clarifying their brand positioning & differentiation
* Creating go-to-market strategies that drive real traction
* Building investor-ready brand narratives & pitch frameworks
* Transforming vision into systematic market success

If you're an early-stage founder struggling with clarity, market validation, or investor positioning, I can help you build a proof-generating system that makes growth inevitable.",
Rogier van Willigen,VP of Product,Lindus Health,"I’m Rogier, an entrepreneurial business builder with 15+ years of experience scaling products, operations, and revenues in high-growth technology companies. I drive revenue growth by collaborating with stakeholders to expand product use cases, enter new markets, and optimize go-to-market strategies.

I’ve helped companies unlock significant growth by scaling products and expanding into new markets. At Lindus Health, I tripled revenue by expanding the addressable market and implementing structured processes. At Stripe, I led the EMEA expansion for Card Issuing, co-founding the region’s first dedicated product team and driving 19x revenue growth. Before that, I built and exited three startups.

Outside of work, I love adventure — whether it's backpacking across Asia with my wife and 8-month-old or running marathons post-cancer treatment years ago. I am also passionate about supporting founders, volunteering as mentor and angel investor with various accelerator programs.

I’m keen to connect with founders and operators tackling growth challenges. If you're working on product expansion, international growth, PLG, or scaling new business lines, let’s talk.",2025-03-28
Gareth Morinan,Integrity Science Engineer,Meta,"I am a seasoned technology expert who has been part of the founding leadership team at multiple startups across diverse sectors, including one that was acquired by a web3 unicorn. 
My areas technical expertise would be in data engineering, ML engineering, research science, data science & data analysis. My successes include scaling big data systems to handle millions of daily users, achieving legal compliance for highly regulated medical software, and publishing novel AI research in prestigious scientific journals. 
I am currently work at Meta and as a board advisor for several startups, and have previously held a NED position.",2025-03-31
Neal Tantisukrit,Head of Innovation,Co:cubed,"Currently a Head of Innovation at Co:Cubed, connecting the world's largest corporates to the world's most innovative startups. With experience at tech unicorn, early-stage startups and my own startup ventures, I bring my know-how in connecting startups and scaleups to their most valuable clients, from value proposition crafting to strategic direction and how to make a pitch deck that lands. In my volunteering time, I work with Hatch to guide early stage underrepresented founders through their startup journey. 

As an entrepreneur, I co-founded Beameo, a new-generation electric bicycle brand that aims to make commuting joyful and The Nera Project, a sustainable clothing line based in Thailand that empowers local artisans and takes care of the environment. Both ventures ensure better working conditions, fair wages and sustainable sourcing to reduce footprints throughout the supply chain as I believe strongly in the collective impact that small businesses can have on the world. ",
Dave Owen,Founder & Talent Acquisition & Workforce Strategy Consultant,dawn talent,"Former Head of Talent Acquisition at Dyson, Talent Acquisition Strategy Advisor to the BBC and now advisor to leading Enterprises, Scaleups and a handful of WorkTech startups working at the intersection of Hiring & Workforce. I have also Co-Founded a WorkTech Startup backed by Antler, led on fundraising etc. 

I’ve lived and worked in the UK, Singapore & Australia partnering with some of the world’s most innovative business leaders. 

The core theme of my career has been distilling complex problems, ideas and transformations into distilled and powerful strategies - as well as delivering them. From how to hire, access & organise world-class capabilities to rethinking entire global operating models and ways of working. Always focussed on unlocking organisational efficiency and delivering on core business strategies. 

Whilst primarily working in Talent Acquisition I’ve always led on broader HR and Workforce change and transformations such as strategic workforce planning, operating model transformations, de/re-centralisation of various functions and tech implementations such as Workday, SAP SuccessFactors, Beamery & more.

As the former Global Head of Talent Acquisition at dyson, I’ve overseen hyper-growth on a global scale (100-400% YoY growth as a 15,000 strong workforce in 75+ countries). Delivering thousands of hires through a variety of resourcing models from in-house teams to Full/Project/Embedded RPOs, MSAs & more. 

Beyond Dyson I’ve supported world-class brands such as the BBC rethink entire approaches to hiring for capabilities such as Software, Product, AI & Robotics and today am fortunate enough to do this full time as a consultant. 

I also previously Co-Founded my own VC-backed Future of Work startup called ditto and remain closely integrated with the HR Tech Startup & Investor ecosystem and advise a small selection of startups on Product, Pricing, G2M & more. 

I enjoy complex, cross-functional change programmes that touch people, tech and processes to deliver business value. My guiding principle is to be useful to others, whatever the problem or budget may be. For example, I love adding value to smaller companies looking to establish best practice hiring processes for the first time and to learn the craft as they scale. 

I’m passionate about data, “wrong-thinking”, emerging tech and how it all fits together across the evolving world of work. I believe there has never been a more exciting time for companies to reinvent how they operate, and I love to help them do it. ",
Rizwan Khan,Managing Director North America & EMEA,42Maru,4 companies acquired (Luck) | 1 co-founded start-up (Failed),2025-03-24
Martin Hao,CEO,Join Social Care,"Cofounder of Healthera, UK’s largest digital pharmacy platform. BCG consultant, now CEO of Join Social Care, revolutionising health and social care staffing with AI and service model innovation",2025-03-25
Ali MacManus,Founding Partner - Design & Strategy,OneLeft,"Hello, I'm Ali. I've spent more than a decade designing and bringing to market new propositions for both start ups and established businesses. I specialise in designing and positioning early stage products or services to ensure they really resonate with target customers. I bring experience of having launched lead multiple product and service launches including an online community business bank in the US, a healthtech start up in the UK and several digital products in the Fintech space. ",2025-03-25
Mike Smales,Founder and CTO,PF Nexus,"Founder & CTO at PF Nexus accelerating the global transition to renewable energy through Data & AI. Previously Consultant CTO for fast-growing tech startups in Deep tech, AI & IoT. Former VPE and COO of Chirp.io (acquired by Sonos). 

I'm experienced with helping founders transform technical vision into market reality. Drawing on my experience as both founder and CTO, I bridge business objectives with technical execution using battle-tested approaches to product-market fit, technical strategy and team scaling. Particularly effective at guiding deep tech startups through critical inflection points to accelerate growth. ",
Alan Metcalfe,Investor,Abbeymount Capital,"​Alan Metcalfe is a dynamic and strategic leader with over 15 years of experience in driving commercial growth, P&L management, and marketplace expansion. As Managing Director at FULFIL Nutrition, he spearheaded a transformative European expansion that positioned FULFIL as the leading confectionery brand and the UK's top protein bar, culminating in its acquisition by Ferrero in April 2022. Prior to that, as Marketing Director at Red Bull, Alan executed high-impact brand strategies that solidified market dominance. An active investor in innovative startups such as Kinzen (acquired by Spotify, October 2022), and Pointy (acquired by Google, January 2020). Alan leverages a data-driven and entrepreneurial approach to scaling high-impact ventures, with particular expertise in consumer segmentation, growth, marketing, and go-to-market strategies.​",2025-04-01
Alex Zhebrak,VP of Engineering,Relation Therapeutics,"Experienced operator leading and scaling technical R&D teams (Eng, ML, Platform). Six years as a Software Engineer in B2B/B2C internet platforms plus six years as a VP/CTO in BioTech/TechBio raising over $350m from Seed through Series C. I taught Software Engineering/Machine Learning courses in academia and via MOOCs to hundreds of thousands of students and have published at NeurIPS and in Nature Biotechnology. I am interested in helping ambitious startups navigate their scaling journey and deliver the products that improve our lives through technology and science.",2025-03-26
Marco Carrubba,Customer Success and Innovation Leadership,ex Microsoft,"Marco Carrubba is a senior business executive with 20 years of corporate experience and an active exposure to the startup scene in London.
Currently a Director of Customer Success, Marco is a passionate AI explorer, a relentless cultural architect building, leading, coaching, inspiring and empowering teams and a powerhouse to drive business growth at sustainable cost.
Awarded Top 100 Customer Success Strategist three years in a row – 2021, 2022 and 2023.
Personal strengths include identifying ideas and making them a reality, being a respected cultural chameleon, helping teams become greater than the sum of their parts, and stretching them to think about what they can be in the future.
Talks about #Wellness #Leadership #D&I #NeuroDiversity #CustomerSuccess
",2025-03-24
Scott Dodson,VP Marketing,Holded (a Visma company),"A four-time founder and later,  senior executive for growth-stage companies, Scott has built and led twelve teams across product, growth, and marketing. He raised four rounds as a founder, and two more at C-level, and helped deliver exits of $25M, $85M, and $700M in these roles. 

Scott has a broad background: ten plus years as a CEO, five plus as CPO, and twelve as CGO or CMO, in EdTech, FinTech, and Gaming. As an active mentor (and occasional investor) to Startup Wiseguys; Microsoft Ventures; Zeroth AI; Percy Hobart (Royal Navy and Royal Air Force); and many Techstars cohorts (Seattle, NYC, Paris, London, and Berlin), he lives the “give first” mantra and has helped many companies find PMF and/or their unique growth levers. Companies he has mentored have seen four exits, so far. 

A US native, he has lived in Europe since 2013 and led international teams since 2006. He brings  unique international expertise in growth, strategy, leading/leveraging global teams and partners (across the US, UK, EU, Japan, Thailand, Taiwan, Singapore, China, India, & Brazil).",
Ian Walker,Cofounder,LaundryRepublic,"Experienced founder and former strategy consultant. Founder CEO of a London-based service scaleup until July 2023. I grew it from concept to £5m ARR, profitability, 65+ team. Customers love us (4.6 Google/TP). I’ve hired 150+ people from front line to C-suite. I know how to build teams and get things done: efficient, lean, and profitable. Then I moved to Munich with my family, and stepped back. I love meeting founders and entrepreneurs, they are usually the most interesting people in the room. ",2025-04-01
Stefan Ross,Coach | fCTO,Nyala,"I am a product-focused technologist. I have developed expertise in IoT, industrial systems and data-science over more than two decades. I have led teams through multiple fundraising rounds, as CTO and team lead. My core strength as an advisor is my breadth of experience.  I can usually bring a fresh perspective based on experience of different roles, industries and technologies.",2025-03-31
Berkan Sesen,Cofounder,"Tinie.ai, AIM Research Lab",See LinkedIn. I am an AI expert with loads of experience in bringing AI products to market. Specific expertise in finance and medicine. ,
Aleksandra Pedraszewska,Entrepreneur in Residence,University of Cambridge FOUNDERS,"Aleksandra Pedraszewska is a technology entrepreneur, venture builder, and operator.

In 2017, she co-founded VividQ, a world-leading provider of holographic display technology, based in Cambridge (UK), where she led financial, legal and people operations as a COO. She helped take the company from a prototype to a 50-people strong team, with customers across the US and APAC, $25m raised in equity capital, and a title of “Best British Technology Pioneer”. 

Before joining VividQ’s founding team, she gained professional experience at Rolls-Royce, HBO, and an investment fund IdeaLab Ventures. 

Currently, Aleksandra leads AI Safety initiatives at ElevenLabs, valued at $1BN+, which provides AI audio tools for voiceovers, narration, dubbing, and production. She also supports IP-driven companies as Entrepreneur-in-Residence at Cambridge and a coach at Conception X.

She has a BA from the University of Cambridge, and an MPhil from Cambridge Judge Business School. She was named on Forbes ‘30 under 30’ list in the Technology Europe category. ",2025-04-02
Emily Ross,"Director of Brand Strategy for Europe, Middle East and Africa",X,"Emily Ross is a seasoned professional with 25 years of commercial experience and holds multiple qualifications in data analytics, marketing and PR. In her current role she manages global campaigns for top tier brands and advertisers. Emily sits on the advisory boards of SXSW and various other entities across academia and innovation. She is the co-author of Just Evil Enough, the handbook for Subversive Marketing.

Former CEO and Chief Strategist of data-driven marketing consultancy Inkvine Communications, she previously co-founded of SportsTech Ireland, a not-for-profit driving FDI in Ireland. Her leadership roles include directorships in health-tech and not-for-profit sectors. As head of corporate partnerships at UNICEF Ireland, she helped double corporate income through strategic partnership development across a range of verticals. 

A co-founder of Resonance Festival, and experienced speaker, mentor and lecturer, Emily is a dynamic force in marketing, innovation and brand building.",2025-04-02
